"time","metric","scenario","group","load_zone","tags","count"
"2024-04-25T23:56:24+00:00","data_sent","default","","","{}",17010
"2024-04-25T23:56:27+00:00","data_sent","default","","","{}",16038
"2024-04-25T23:56:30+00:00","data_sent","default","","","{}",14580
"2024-04-25T23:56:33+00:00","data_sent","default","","","{}",15066
"2024-04-25T23:56:36+00:00","data_sent","default","","","{}",17982
"2024-04-25T23:56:39+00:00","data_sent","default","","","{}",16524
"2024-04-25T23:56:42+00:00","data_sent","default","","","{}",15552
"2024-04-25T23:56:45+00:00","data_sent","default","","","{}",15552
"2024-04-25T23:56:48+00:00","data_sent","default","","","{}",18468
"2024-04-25T23:56:51+00:00","data_sent","default","","","{}",17982
"2024-04-25T23:56:54+00:00","data_sent","default","","","{}",16524
"2024-04-25T23:56:57+00:00","data_sent","default","","","{}",16038
"2024-04-25T23:57:00+00:00","data_sent","default","","","{}",18954
"2024-04-25T23:57:03+00:00","data_sent","default","","","{}",17982
"2024-04-25T23:57:06+00:00","data_sent","default","","","{}",17010
"2024-04-25T23:57:09+00:00","data_sent","default","","","{}",17010
"2024-04-25T23:57:12+00:00","data_sent","default","","","{}",18954
"2024-04-25T23:57:15+00:00","data_sent","default","","","{}",18954
"2024-04-25T23:57:18+00:00","data_sent","default","","","{}",19440
"2024-04-25T23:57:21+00:00","data_sent","default","","","{}",18468
"2024-04-25T23:57:24+00:00","data_sent","default","","","{}",19440
"2024-04-25T23:57:27+00:00","data_sent","default","","","{}",18954
"2024-04-25T23:57:30+00:00","data_sent","default","","","{}",20898
"2024-04-25T23:57:33+00:00","data_sent","default","","","{}",20898
"2024-04-25T23:57:36+00:00","data_sent","default","","","{}",19926
"2024-04-25T23:57:39+00:00","data_sent","default","","","{}",19926
"2024-04-25T23:57:42+00:00","data_sent","default","","","{}",19440
"2024-04-25T23:57:45+00:00","data_sent","default","","","{}",22842
"2024-04-25T23:57:48+00:00","data_sent","default","","","{}",21384
"2024-04-25T23:57:51+00:00","data_sent","default","","","{}",20412
"2024-04-25T23:57:54+00:00","data_sent","default","","","{}",20412
"2024-04-25T23:57:57+00:00","data_sent","default","","","{}",24786
"2024-04-25T23:58:00+00:00","data_sent","default","","","{}",22356
"2024-04-25T23:58:03+00:00","data_sent","default","","","{}",21384
"2024-04-25T23:58:06+00:00","data_sent","default","","","{}",21384
"2024-04-25T23:58:09+00:00","data_sent","default","","","{}",24786
"2024-04-25T23:58:12+00:00","data_sent","default","","","{}",22842
"2024-04-25T23:58:15+00:00","data_sent","default","","","{}",22356
"2024-04-25T23:58:18+00:00","data_sent","default","","","{}",22842
"2024-04-25T23:58:21+00:00","data_sent","default","","","{}",26730
"2024-04-25T23:58:24+00:00","data_sent","default","","","{}",22842
"2024-04-25T23:58:27+00:00","data_sent","default","","","{}",23814
"2024-04-25T23:58:30+00:00","data_sent","default","","","{}",23328
"2024-04-25T23:58:33+00:00","data_sent","default","","","{}",26244
"2024-04-25T23:58:36+00:00","data_sent","default","","","{}",23814
"2024-04-25T23:58:39+00:00","data_sent","default","","","{}",24786
"2024-04-25T23:58:42+00:00","data_sent","default","","","{}",23814
"2024-04-25T23:58:45+00:00","data_sent","default","","","{}",26244
"2024-04-25T23:58:48+00:00","data_sent","default","","","{}",22356
"2024-04-25T23:58:51+00:00","data_sent","default","","","{}",26730
"2024-04-25T23:58:54+00:00","data_sent","default","","","{}",28674
"2024-04-25T23:58:57+00:00","data_sent","default","","","{}",25758
"2024-04-25T23:59:00+00:00","data_sent","default","","","{}",25272
"2024-04-25T23:59:03+00:00","data_sent","default","","","{}",25758
"2024-04-25T23:59:06+00:00","data_sent","default","","","{}",30132
"2024-04-25T23:59:09+00:00","data_sent","default","","","{}",28188
"2024-04-25T23:59:12+00:00","data_sent","default","","","{}",25758
"2024-04-25T23:59:15+00:00","data_sent","default","","","{}",26730
"2024-04-25T23:59:18+00:00","data_sent","default","","","{}",31104
"2024-04-25T23:59:21+00:00","data_sent","default","","","{}",28674
"2024-04-25T23:59:24+00:00","data_sent","default","","","{}",26730
"2024-04-25T23:59:27+00:00","data_sent","default","","","{}",27702
"2024-04-25T23:59:30+00:00","data_sent","default","","","{}",32076
"2024-04-25T23:59:33+00:00","data_sent","default","","","{}",29160
"2024-04-25T23:59:36+00:00","data_sent","default","","","{}",27216
"2024-04-25T23:59:39+00:00","data_sent","default","","","{}",28674
"2024-04-25T23:59:42+00:00","data_sent","default","","","{}",34020
"2024-04-25T23:59:45+00:00","data_sent","default","","","{}",29646
"2024-04-25T23:59:48+00:00","data_sent","default","","","{}",28674
"2024-04-25T23:59:51+00:00","data_sent","default","","","{}",29160
"2024-04-25T23:59:54+00:00","data_sent","default","","","{}",34992
"2024-04-25T23:59:57+00:00","data_sent","default","","","{}",30618
"2024-04-26T00:00:00+00:00","data_sent","default","","","{}",27702
"2024-04-26T00:00:03+00:00","data_sent","default","","","{}",30618
"2024-04-26T00:00:06+00:00","data_sent","default","","","{}",35478
"2024-04-26T00:00:09+00:00","data_sent","default","","","{}",27702
"2024-04-26T00:00:12+00:00","data_sent","default","","","{}",33048
"2024-04-26T00:00:15+00:00","data_sent","default","","","{}",32076
"2024-04-26T00:00:18+00:00","data_sent","default","","","{}",34020
"2024-04-26T00:00:21+00:00","data_sent","default","","","{}",31104
"2024-04-26T00:00:24+00:00","data_sent","default","","","{}",34506
