"time","metric","scenario","group","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2024-04-25T23:52:54+00:00","group_duration","default","::Categories details","","{}",4,1002.308013,1002.828715,1002.82873535156,1002.82873535156,1002.82873535156,1002.828715,0
"2024-04-25T23:52:54+00:00","group_duration","default","::Homepage","","{}",3,1011.685522,1018.473626,1019.90301513672,1023.41649780273,1023.72880737305,1023.806878,6.17332152666843
"2024-04-25T23:52:54+00:00","group_duration","default","::Product details","","{}",4,1001.90896,1003.67107575,1003.51898193359,1004.03606872559,1004.10906921387,1004.127303,0.304151499999989
"2024-04-25T23:52:54+00:00","group_duration","default","::View cart","","{}",1,1037.610057,1037.610057,1037.610057,1037.610057,1037.610057,1037.610057,""
"2024-04-25T23:52:57+00:00","group_duration","default","::Categories details","","{}",2,1002.705221,1003.7500315,1003.75003051758,1003.95797424316,1003.97645812988,1003.981063,0.32672788063536
"2024-04-25T23:52:57+00:00","group_duration","default","::Homepage","","{}",4,1020.827155,1023.665795,1023.66577148438,1023.66577148438,1023.66577148438,1023.665795,0
"2024-04-25T23:52:57+00:00","group_duration","default","::View cart","","{}",3,1033.137256,1041.159809,1040.38305664062,1046.16680908203,1046.68092041016,1046.809427,5.30404955288337
"2024-04-25T23:53:00+00:00","group_duration","default","::Categories details","","{}",2,1001.574987,1001.924548,1001.92456054688,1001.92456054688,1001.92456054688,1001.924548,0
"2024-04-25T23:53:00+00:00","group_duration","default","::Homepage","","{}",2,1023.609867,1031.3373965,1031.33740234375,1037.94194335938,1038.52901367187,1038.675793,10.3780598563713
"2024-04-25T23:53:00+00:00","group_duration","default","::Product details","","{}",4,1003.012463,1005.390458,1005.39044189453,1007.26190185547,1007.26190185547,1007.261916,2.16097356015418
"2024-04-25T23:53:00+00:00","group_duration","default","::View cart","","{}",4,1031.153433,1035.6665815,1034.23901367188,1041.14076538086,1041.82600463867,1041.997326,4.64121315195735
