"time","metric","scenario","group","load_zone","tags","count"
"2024-04-25T23:58:45+00:00","iterations","default","","","{}",54
"2024-04-25T23:58:48+00:00","iterations","default","","","{}",46
"2024-04-25T23:58:51+00:00","iterations","default","","","{}",55
"2024-04-25T23:58:54+00:00","iterations","default","","","{}",59
"2024-04-25T23:58:57+00:00","iterations","default","","","{}",53
"2024-04-25T23:59:00+00:00","iterations","default","","","{}",52
"2024-04-25T23:59:03+00:00","iterations","default","","","{}",53
"2024-04-25T23:59:06+00:00","iterations","default","","","{}",62
"2024-04-25T23:59:09+00:00","iterations","default","","","{}",58
"2024-04-25T23:59:12+00:00","iterations","default","","","{}",53
"2024-04-25T23:59:15+00:00","iterations","default","","","{}",55
"2024-04-25T23:59:18+00:00","iterations","default","","","{}",64
"2024-04-25T23:59:21+00:00","iterations","default","","","{}",59
"2024-04-25T23:59:24+00:00","iterations","default","","","{}",55
"2024-04-25T23:59:27+00:00","iterations","default","","","{}",57
"2024-04-25T23:59:30+00:00","iterations","default","","","{}",66
"2024-04-25T23:59:33+00:00","iterations","default","","","{}",60
"2024-04-25T23:59:36+00:00","iterations","default","","","{}",56
"2024-04-25T23:59:39+00:00","iterations","default","","","{}",59
"2024-04-25T23:59:42+00:00","iterations","default","","","{}",70
"2024-04-25T23:59:45+00:00","iterations","default","","","{}",61
"2024-04-25T23:59:48+00:00","iterations","default","","","{}",59
"2024-04-25T23:59:51+00:00","iterations","default","","","{}",60
"2024-04-25T23:59:54+00:00","iterations","default","","","{}",72
"2024-04-25T23:59:57+00:00","iterations","default","","","{}",63
"2024-04-26T00:00:00+00:00","iterations","default","","","{}",57
"2024-04-26T00:00:03+00:00","iterations","default","","","{}",63
"2024-04-26T00:00:06+00:00","iterations","default","","","{}",73
"2024-04-26T00:00:09+00:00","iterations","default","","","{}",57
"2024-04-26T00:00:12+00:00","iterations","default","","","{}",68
"2024-04-26T00:00:15+00:00","iterations","default","","","{}",66
"2024-04-26T00:00:18+00:00","iterations","default","","","{}",70
"2024-04-26T00:00:21+00:00","iterations","default","","","{}",64
"2024-04-26T00:00:24+00:00","iterations","default","","","{}",71
"2024-04-26T00:00:27+00:00","iterations","default","","","{}",67
"2024-04-26T00:00:30+00:00","iterations","default","","","{}",72
"2024-04-26T00:00:33+00:00","iterations","default","","","{}",61
"2024-04-26T00:00:36+00:00","iterations","default","","","{}",71
"2024-04-26T00:00:39+00:00","iterations","default","","","{}",74
"2024-04-26T00:00:42+00:00","iterations","default","","","{}",74
"2024-04-26T00:00:45+00:00","iterations","default","","","{}",66
"2024-04-26T00:00:48+00:00","iterations","default","","","{}",68
"2024-04-26T00:00:51+00:00","iterations","default","","","{}",78
"2024-04-26T00:00:54+00:00","iterations","default","","","{}",71
"2024-04-26T00:00:57+00:00","iterations","default","","","{}",70
"2024-04-26T00:01:00+00:00","iterations","default","","","{}",72
"2024-04-26T00:01:03+00:00","iterations","default","","","{}",82
"2024-04-26T00:01:06+00:00","iterations","default","","","{}",73
"2024-04-26T00:01:09+00:00","iterations","default","","","{}",72
"2024-04-26T00:01:12+00:00","iterations","default","","","{}",68
"2024-04-26T00:01:15+00:00","iterations","default","","","{}",85
"2024-04-26T00:01:18+00:00","iterations","default","","","{}",71
"2024-04-26T00:01:21+00:00","iterations","default","","","{}",71
"2024-04-26T00:01:24+00:00","iterations","default","","","{}",73
"2024-04-26T00:01:27+00:00","iterations","default","","","{}",83
"2024-04-26T00:01:30+00:00","iterations","default","","","{}",73
"2024-04-26T00:01:33+00:00","iterations","default","","","{}",71
"2024-04-26T00:01:36+00:00","iterations","default","","","{}",73
"2024-04-26T00:01:39+00:00","iterations","default","","","{}",83
"2024-04-26T00:01:42+00:00","iterations","default","","","{}",69
"2024-04-26T00:01:45+00:00","iterations","default","","","{}",75
"2024-04-26T00:01:48+00:00","iterations","default","","","{}",73
"2024-04-26T00:01:51+00:00","iterations","default","","","{}",82
"2024-04-26T00:01:54+00:00","iterations","default","","","{}",64
"2024-04-26T00:01:57+00:00","iterations","default","","","{}",79
"2024-04-26T00:02:00+00:00","iterations","default","","","{}",75
"2024-04-26T00:02:03+00:00","iterations","default","","","{}",78
"2024-04-26T00:02:06+00:00","iterations","default","","","{}",67
"2024-04-26T00:02:09+00:00","iterations","default","","","{}",75
"2024-04-26T00:02:12+00:00","iterations","default","","","{}",75
"2024-04-26T00:02:15+00:00","iterations","default","","","{}",80
"2024-04-26T00:02:18+00:00","iterations","default","","","{}",68
"2024-04-26T00:02:21+00:00","iterations","default","","","{}",77
"2024-04-26T00:02:24+00:00","iterations","default","","","{}",74
"2024-04-26T00:02:27+00:00","iterations","default","","","{}",74
"2024-04-26T00:02:30+00:00","iterations","default","","","{}",71
"2024-04-26T00:02:33+00:00","iterations","default","","","{}",77
"2024-04-26T00:02:36+00:00","iterations","default","","","{}",71
"2024-04-26T00:02:39+00:00","iterations","default","","","{}",75
"2024-04-26T00:02:42+00:00","iterations","default","","","{}",74
"2024-04-26T00:02:45+00:00","iterations","default","","","{}",74
"2024-04-26T00:02:48+00:00","iterations","default","","","{}",77
"2024-04-26T00:02:51+00:00","iterations","default","","","{}",73
"2024-04-26T00:02:54+00:00","iterations","default","","","{}",74
"2024-04-26T00:02:57+00:00","iterations","default","","","{}",72
"2024-04-26T00:03:00+00:00","iterations","default","","","{}",81
"2024-04-26T00:03:03+00:00","iterations","default","","","{}",73
"2024-04-26T00:03:06+00:00","iterations","default","","","{}",74
"2024-04-26T00:03:09+00:00","iterations","default","","","{}",67
"2024-04-26T00:03:12+00:00","iterations","default","","","{}",86
